Task ID,Temperature,Humidity
Task 1,15.504,62.164
Task 2,7.682,71.433
Task 3,8.818,70.855
Task 4,11.726,61.817
Task 5,16.206,67.675
Task 6,11.131,68.318
Task 7,8.702,71.198
Task 8,8.072,79.713
Task 9,18.474,80.643
Task 10,14.358,77.019
Task 11,7.372,79.688
Task 12,8.004,74.619
Task 13,14.104,81.301
Task 14,12.529,68.271
Task 15,12.913,73.016
Task 16,11.277,81.983
Task 17,14.479,66.522
Task 18,8.84,70.196
Task 19,10.157,68.637
Task 20,18.51,64.658
Task 21,12.458,59.446
Task 22,9.402,63.616
Task 23,17.898,70.874
Task 24,12.977,69.769
Task 25,15.012,67.535
Task 26,11.435,61.551
Task 27,17.755,62.506
Task 28,11.282,60.839
Task 29,12.197,71.035
Task 30,13.608,61.592
Task 31,10.522,75.747
Task 32,9.962,80.067
Task 33,10.418,70.308
Task 34,17.024,80.336
Task 35,9.512,62.517
Task 36,14.978,66.528
Task 37,11.451,81.91
Task 38,14.321,79.907
Task 39,7.451,74.32
Task 40,15.752,78.935
Task 41,15.64,69.352
Task 42,13.516,72.346
Task 43,10.293,72.885
Task 44,12.268,65.532
Task 45,16.296,60.276
Task 46,10.772,79.485
Task 47,17.528,68.127
Task 48,17.807,79.61
Task 49,16.812,73.705
Task 50,17.23,62.758
Task 51,13.748,81.463
Task 52,11.667,66.147
Task 53,16.943,71.006
Task 54,8.688,69.987
Task 55,18.879,73.163
Task 56,12.972,61.39
Task 57,9.9,67.9
Task 58,16.59,71.006
Task 59,7.72,73.005
Task 60,17.915,78.659
Task 61,12.385,58.843
Task 62,9.345,68.886
Task 63,10.319,65.779
Task 64,13.832,69.429
Task 65,9.866,58.282
Task 66,16.113,68.036
Task 67,15.441,64.784
Task 68,11.586,73.888
Task 69,17.599,66.716
Task 70,8.213,68.148
Task 71,16.536,63.259
Task 72,11.919,81.966
Task 73,14.119,59.775
Task 74,18.597,69.399
Task 75,10.586,76.885
Task 76,15.971,65.049
Task 77,15.641,66.38
Task 78,15.736,58.657
Task 79,11.57,69.264
Task 80,9.983,59.657
Task 81,14.462,77.669
Task 82,7.545,59.439
Task 83,9.049,64.335
Task 84,11.253,74.04
Task 85,12.485,79.823
Task 86,15.09,78.472
Task 87,12.635,65.532
Task 88,17.633,69.512
Task 89,7.985,76.853
Task 90,10.346,77.258
Task 91,11.449,73.355
Task 92,11.827,72.564
Task 93,9.075,70.335
Task 94,16.248,67.103
Task 95,9.589,81.813
Task 96,8.023,62.36
Task 97,16.226,65.146
Task 98,18.266,64.247
Task 99,9.716,65.461
Task 100,8.268,64.627
