Task ID,Job Name,Start Time,Period,Execution Time,Deadline Time,Priority,Finish Time,Least Finish Time,Time Budget,Idle Task Time,Smart Machine ID,Task Completion Status,Total Number of Tasks for Smart Machine X,Utilization Capacity of Smart Machine (%),Total Workload Capacity Required for Smart Machine X
Task 1,Job 0,5,8,2,9,0,7,14,7,2,1,1,1,35,19
Task 1,Job 1,10,7,1,9,0,11,19,8,1,4,0,1,35,9
Task 2,Job 0,4,9,3,9,1,7,13,6,3,3,1,2,35,10
Task 2,Job 1,9,5,1,9,0,10,18,8,1,1,2,2,35,5
Task 3,Job 0,10,5,2,8,0,12,18,6,2,2,2,3,36,7
Task 3,Job 1,15,4,4,8,0,19,23,4,4,3,0,3,36,5
Task 4,Job 0,3,6,1,11,1,4,14,10,1,2,1,4,38,11
Task 4,Job 1,8,7,3,10,1,11,18,7,3,2,1,4,38,5
Task 5,Job 0,9,5,1,11,0,10,20,10,1,3,1,5,39,16
Task 5,Job 1,14,10,2,11,0,16,25,9,2,4,0,5,39,3
Task 6,Job 0,10,9,1,6,0,11,16,5,1,4,1,6,40,11
Task 6,Job 1,15,4,2,11,0,17,26,9,2,2,2,6,40,6
Task 7,Job 0,1,7,3,12,1,4,13,9,3,2,1,7,41,8
Task 7,Job 1,6,7,3,11,0,9,17,8,3,1,2,7,41,10
Task 8,Job 0,2,7,1,7,0,3,9,6,1,1,1,8,42,11
Task 8,Job 1,7,9,4,9,0,11,16,5,4,3,1,8,42,6
Task 9,Job 0,8,10,2,7,0,10,15,5,2,4,2,9,43,7
Task 9,Job 1,13,7,4,11,1,17,24,7,4,1,0,9,43,19
Task 10,Job 0,2,6,1,10,0,3,12,9,1,2,1,10,43,9
Task 10,Job 1,7,6,2,12,0,9,19,10,2,4,1,10,43,18
Task 11,Job 0,5,8,1,8,0,6,13,7,1,3,2,11,45,4
Task 11,Job 1,10,7,3,9,0,13,19,6,3,1,0,11,45,19
Task 12,Job 0,2,5,4,7,1,6,9,3,4,4,1,12,46,15
Task 12,Job 1,7,10,1,6,0,8,13,5,1,2,2,12,46,13
Task 13,Job 0,1,8,4,12,0,5,13,8,4,4,0,13,46,9
Task 13,Job 1,6,4,3,6,0,9,12,3,3,1,2,13,46,3
Task 14,Job 0,4,8,2,9,0,6,13,7,2,2,0,14,48,7
